Title,Runtime
White Chicks,1h 49m
The Girl with the Dragon Tattoo,2h 38m
Terminator: Dark Fate,2h 8m
Kids,1h 31m
The Revenant,2h 36m
The Family I Had,
The Predator,1h 47m
Poltergeist,1h 54m
Lie with Me,1h 33m
Juliet & Romeo,2h 1m
Only the Brave,2h 14m
Wrong Turn,1h 24m
The Wedding Banquet,1h 43m
A Beautiful Mind,2h 15m
Mid90s,1h 25m
September 5,1h 35m
Fury,2h 14m
The Perks of Being a Wallflower,1h 43m
Anatomy of a Fall,2h 31m
Notting Hill,2h 4m
Don't Look Up,2h 18m
Free Guy,1h 55m
Sisu,1h 31m
Avengers: Age of Ultron,2h 21m
The General's Daughter,1h 56m
Moana,1h 47m
The Last Showgirl,1h 28m
Your Name.,
Home Sweet Home: Rebirth,
Harry Potter and the Chamber of Secrets,2h 41m
Moneyball,2h 13m
A Dog's Way Home,1h 36m
Return to Silent Hill,
Die Alone,1h 30m
Scary Movie,1h 28m
Deva,
Princess Mononoke,2h 13m
Perfect Days,2h 4m
Friday,1h 31m
The Greatest Showman,1h 45m
Nonnas,1h 51m
Uncut Gems,2h 15m
Blue Velvet,2h
Ferris Bueller's Day Off,1h 43m
"Good Luck to You, Leo Grande",1h 37m
You're Cordially Invited,1h 49m
Harry Potter and the Order of the Phoenix,2h 18m
I Saw the TV Glow,1h 40m
Armageddon,2h 31m
Psycho,1h 49m
Wonka,1h 56m
Men in Black,1h 38m
The Da Vinci Code,2h 29m
The Wizard of Oz,1h 42m
Chronicle,1h 24m
School of Rock,1h 49m
Bridge to Terabithia,1h 36m
Ghosted,1h 56m
Thor,1h 55m
Trainspotting,1h 33m
The Human Centipede (First Sequence),1h 32m
Tremors,1h 36m
The Irishman,3h 29m
Terrifier,1h 25m
Aftersun,1h 42m
Veera Dheera Sooran: Part 2,
Runaway Jury,2h 7m
The Hill,2h 6m
The Little Mermaid,2h 15m
Captain America: Civil War,2h 27m
Cruel Intentions,1h 37m
The Faculty,1h 44m
It's a Mad Mad Mad Mad World,3h 30m
The Salt Path,
The Idea of You,1h 55m
Shrek,1h 30m
Lucky Baskhar,
The Cabin in the Woods,1h 35m
The Last Stop in Yuma County,1h 30m
The Gray Man,2h 2m
The Marvels,1h 45m
Ne Zha 2,2h 23m
Cheech & Chong's Last Movie,2h
The Exorcist,2h 2m
Children of Men,1h 49m
Eden Lake,1h 31m
Shang-Chi and the Legend of the Ten Rings,2h 12m
Amélie,2h 2m
Jojo Rabbit,1h 48m
Into the Wild,2h 28m
The Ritual,
Nickel Boys,2h 20m
Draft Day,1h 50m
Dracula,2h 8m
Meet Joe Black,2h 58m
Black Adam,2h 5m
Desire,1h 43m
Uncharted,1h 56m
Palm Springs,1h 30m
Kung Fu Panda,1h 32m
The Social Network,2h
Office Space,1h 29m
The Tomorrow War,2h 18m
A Serbian Film,1h 44m
Fresh,1h 54m
Salem's Lot,1h 54m
The Holdovers,2h 13m
Boogie Nights,2h 35m
Pretty Woman,1h 59m
Doctor Strange in the Multiverse of Madness,2h 6m
The Mask,1h 41m
The Incredible Hulk,1h 52m
The Sandlot,1h 41m
Booksmart,1h 42m
The Expendables 4,1h 43m
The Zone of Interest,1h 45m
V for Vendetta,2h 12m
Scent of a Woman,2h 36m
Beetlejuice,1h 32m
Passengers,1h 56m
Carrie,1h 38m
Marked Men,1h 33m
The Fast and the Furious,1h 46m
The Virgin Suicides,1h 37m
Sing Sing,1h 47m
The Whale,1h 57m
The Naked Gun: From the Files of Police Squad!,1h 25m
The Hunt,1h 30m
Lucy,1h 29m
In a Violent Nature,1h 34m
Casino Royale,2h 24m
Predestination,1h 37m
Easy A,1h 32m
Sacramento,1h 29m
The Last Voyage of the Demeter,1h 58m
My Cousin Vinny,2h
Howl's Moving Castle,1h 59m
