Title,Actors
Harry Potter and the Deathly Hallows: Part 1,Daniel RadcliffeEmma WatsonRupert Grint
The Lord of the Rings: The War of the Rohirrim,Brian CoxGaia WiseMiranda Otto
Demolition,Jake GyllenhaalNaomi WattsChris Cooper
Fantastic Mr. Fox,George ClooneyMeryl StreepBill Murray
Top Secret!,Val KilmerOmar SharifJeremy Kemp
Jerry Maguire,Tom CruiseCuba Gooding Jr.Renée Zellweger
Pirates of the Caribbean: Dead Men Tell No Tales,Johnny DeppGeoffrey RushJavier Bardem
The Elephant Man,Anthony HopkinsJohn HurtAnne Bancroft
The Crow,Bill SkarsgårdFKA twigsDanny Huston
Pirates of the Caribbean: Dead Man's Chest,Johnny DeppOrlando BloomKeira Knightley
Red One,Dwayne JohnsonChris EvansLucy Liu
Ground Zero,Emraan HashmiSai TamhankarAeklavya Tomer
Batman,Michael KeatonJack NicholsonKim Basinger
Fantastic Four,Miles TellerKate MaraMichael B. Jordan
Predators,Adrien BrodyLaurence FishburneTopher Grace
Ted,Mark WahlbergMila KunisSeth MacFarlane
Caveat,Ben CaplanJohnny FrenchLeila Sykes
Hamilton,Lin-Manuel MirandaPhillipa SooLeslie Odom Jr.
Oblivion,Tom CruiseMorgan FreemanAndrea Riseborough
"Lock, Stock and Two Smoking Barrels",Jason FlemyngDexter FletcherNick Moran
Weird Science,Anthony Michael HallIlan Mitchell-SmithKelly LeBrock
Fantastic Beasts and Where to Find Them,Eddie RedmayneKatherine WaterstonAlison Sudol
Pink Floyd: Live at Pompeii,
In Time,Justin TimberlakeAmanda SeyfriedCillian Murphy
Contagion,Matt DamonKate WinsletJude Law
Raid,Ajay DevgnIleana D'CruzSaurabh Shukla
Inside Man,Denzel WashingtonClive OwenJodie Foster
Rain Man,Dustin HoffmanTom CruiseValeria Golino
Cast Away,Tom HanksHelen HuntPaul Sanchez
Lost in Translation,Bill MurrayScarlett JohanssonGiovanni Ribisi
Red Sparrow,Jennifer LawrenceJoel EdgertonMatthias Schoenaerts
Kingdom of the Planet of the Apes,Owen TeagueFreya AllanKevin Durand
WALL·E,Ben BurttElissa KnightJeff Garlin
Pale Rider,Clint EastwoodMichael MoriartyCarrie Snodgress
Iron Man 3,Robert Downey Jr.Guy PearceGwyneth Paltrow
The Old Guard 2,Charlize TheronKiKi LayneMatthias Schoenaerts
Saw,Cary ElwesLeigh WhannellDanny Glover
The Rocky Horror Picture Show,Tim CurrySusan SarandonBarry Bostwick
The Rock,Sean ConneryNicolas CageEd Harris
Death Proof,Kurt RussellZoë BellRosario Dawson
Mystic River,Sean PennTim RobbinsKevin Bacon
Opus,Ayo EdebiriJohn MalkovichJuliette Lewis
Geostorm,Gerard ButlerJim SturgessAbbie Cornish
Dogma,Ben AffleckMatt DamonLinda Fiorentino
Underwater,Kristen StewartVincent CasselMamoudou Athie
13 Hours: The Secret Soldiers of Benghazi,John KrasinskiPablo SchreiberJames Badge Dale
Margin Call,Zachary QuintoStanley TucciKevin Spacey
Zack Snyder's Justice League,Henry CavillBen AffleckGal Gadot
Gone with the Wind,Clark GableVivien LeighThomas Mitchell
Nightbitch,Amy AdamsScoot McNairyArleigh Snowden
It's What's Inside,Brittany O'GradyJames MorosiniGavin Leatherwood
The Abyss,Ed HarrisMary Elizabeth MastrantonioMichael Biehn
Tangled,Mandy MooreZachary LeviDonna Murphy
The 40-Year-Old Virgin,Steve CarellCatherine KeenerPaul Rudd
Wedding Crashers,Owen WilsonVince VaughnRachel McAdams
Ben-Hur,Charlton HestonJack HawkinsStephen Boyd
Deadpool 2,Ryan ReynoldsJosh BrolinMorena Baccarin
Napoleon,Joaquin PhoenixVanessa KirbyTahar Rahim
A Quiet Place,Emily BluntJohn KrasinskiMillicent Simmonds
Hot Fuzz,Simon PeggNick FrostMartin Freeman
Willy Wonka & the Chocolate Factory,Gene WilderJack AlbertsonPeter Ostrum
Ant-Man and the Wasp: Quantumania,Paul RuddEvangeline LillyMichael Douglas
The Last Rodeo,Neal McDonoughChristopher McDonaldMykelti Williamson
12 Years a Slave,Chiwetel EjioforMichael Kenneth WilliamsMichael Fassbender
Instant Family,Mark WahlbergRose ByrneIsabela Merced
Secretariat,Diane LaneJohn MalkovichMargo Martindale
Rocky,Sylvester StalloneTalia ShireBurt Young
The Lion King,Donald GloverBeyoncéSeth Rogen
Tusk,Justin LongMichael ParksHaley Joel Osment
The Flash,Ezra MillerMichael KeatonSasha Calle
Black Mirror: Bandersnatch,Fionn WhiteheadCraig ParkinsonAlice Lowe
"Girl, Interrupted",Winona RyderAngelina JolieClea DuVall
Coyote Ugly,Piper PeraboAdam GarciaJohn Goodman
Holes,Shia LaBeoufSigourney WeaverJon Voight
Hannibal,Anthony HopkinsJulianne MooreGary Oldman
Thirteen,Evan Rachel WoodHolly HunterNikki Reed
The Dark Tower,Idris ElbaMatthew McConaugheyTom Taylor
The Descent,Shauna MacdonaldNatalie MendozaAlex Reid
Erin Brockovich,Julia RobertsAlbert FinneyDavid Brisbin
Aladdin,Will SmithMena MassoudNaomi Scott
X-Men: First Class,James McAvoyMichael FassbenderJennifer Lawrence
Man on Fire,Denzel WashingtonChristopher WalkenDakota Fanning
Last Night in Soho,Thomasin McKenzieAnya Taylor-JoyMatt Smith
The Fast and the Furious: Tokyo Drift,Lucas BlackZachery Ty BryanShad Moss
Dirty Dancing,Patrick SwayzeJennifer GreyJerry Orbach
La cocina,Raúl BrionesRooney MaraJames Waterston
"Monsters, Inc.",Billy CrystalJohn GoodmanMary Gibbs
Mr. & Mrs. Smith,Brad PittAngelina JolieAdam Brody
Blended,Adam SandlerDrew BarrymoreWendi McLendon-Covey
Death on the Nile,Tom BatemanAnnette BeningKenneth Branagh
Not Another Teen Movie,Chyler LeighJaime PresslyChris Evans
Fly Me to the Moon,Scarlett JohanssonChanning TatumWoody Harrelson
9 Songs,Kieran O'BrienMargo StilleyRobert Levon Been
Peter Pan's Neverland Nightmare,Megan PlacitoMartin PortlockKit Green
World War Z,Brad PittMireille EnosDaniella Kertesz
The Watchers,Dakota FanningGeorgina CampbellOlwen Fouéré
Drive-Away Dolls,Margaret QualleyGeraldine ViswanathanBeanie Feldstein
Priscilla,Cailee SpaenyJacob ElordiAri Cohen
The Ritual,Rafe SpallArsher AliRobert James-Collier
Shame,Michael FassbenderCarey MulliganJames Badge Dale
The King,Tom Glynn-CarneyGábor CzapTom Fisher
Nocturnal Animals,Amy AdamsJake GyllenhaalMichael Shannon
The Prince of Egypt,Val KilmerRalph FiennesMichelle Pfeiffer
Purple Hearts,Sofia CarsonNicholas GalitzineChosen Jacobs
Bring Them Down,Christopher AbbottBarry KeoghanColm Meaney
Licorice Pizza,Alana HaimCooper HoffmanSean Penn
Murder on the Orient Express,Kenneth BranaghPenélope CruzWillem Dafoe
La Dolce Villa,Scott FoleyViolante PlacidoMaia Reficco
Perfect Blue,Junko IwaoRica MatsumotoShinpachi Tsuji
The Banshees of Inisherin,Colin FarrellBrendan GleesonKerry Condon
The Bourne Identity,Franka PotenteMatt DamonChris Cooper
The Curious Case of Benjamin Button,Brad PittCate BlanchettTilda Swinton
The Perfect Storm,George ClooneyMark WahlbergJohn C. Reilly
Tinker Tailor Soldier Spy,Gary OldmanColin FirthTom Hardy
King Kong,Naomi WattsJack BlackAdrien Brody
"Husband, Father, Killer: The Alyssa Pladl Story",Jackie CruzMatthew MacCaullMatreya Scarrwener
Godzilla x Kong: The New Empire,Rebecca HallBrian Tyree HenryDan Stevens
