Title,Actors
Mean Girls,Lindsay LohanJonathan BennettRachel McAdams
Hereditary,Toni ColletteMilly ShapiroGabriel Byrne
Dune: Part One,Timothée ChalametRebecca FergusonZendaya
Snatch,Jason StathamBrad PittStephen Graham
Azrael,Vic Carmen SonneSamara WeavingNathan Stewart-Jarrett
My Fault: London,Asha BanksMatthew BroomeEve Macklin
Rosario,Emeraude ToubiaJosé ZúñigaDavid Dastmalchian
Deep Water,Ben AffleckAna de ArmasTracy Letts
Crazxy,Sohum ShahShilpa ShuklaNimisha Sajayan
Twister,Helen HuntBill PaxtonJami Gertz
Eternal Sunshine of the Spotless Mind,Jim CarreyKate WinsletTom Wilkinson
The Handmaiden,Kim Min-heeHa Jung-wooCho Jin-woong
Small Things Like These,Cillian MurphyEileen WalshEmily Watson
Paddington in Peru,Hugh BonnevilleEmily MortimerBen Whishaw
The Beekeeper,Jason StathamEmmy Raver-LampmanBobby Naderi
Bullet Train,Brad PittJoey KingAaron Taylor-Johnson
"Salò, or the 120 Days of Sodom",Paolo BonacelliGiorgio CataldiUberto Paolo Quintavalle
12 Angry Men,Henry FondaLee J. CobbMartin Balsam
Materialists,Dakota JohnsonChris EvansPedro Pascal
John Wick,Keanu ReevesMichael NyqvistAlfie Allen
Pitch Perfect,Anna KendrickBrittany SnowRebel Wilson
Guardians of the Galaxy Vol. 3,Chris PrattChukwudi IwujiBradley Cooper
Talk to Me,Ari McCarthyHamish PhillipsKit Erhart-Bruce
The Biggest Fan,Kate del CastilloDiana BovioGabriel Nuncio
Saving Private Ryan,Tom HanksMatt DamonTom Sizemore
"Crazy, Stupid, Love.",Steve CarellRyan GoslingJulianne Moore
Murder at Yellowstone City,Isaiah MustafaZach McGowanThomas Jane
Knives Out,Daniel CraigChris EvansAna de Armas
Road House,Jake GyllenhaalDaniela MelchiorConor McGregor
Everything Everywhere All at Once,Michelle YeohStephanie HsuJamie Lee Curtis
Eden,Jude LawAna de ArmasVanessa Kirby
MaXXXine,Charley Rowan McCainSimon PrastMia Goth
V for Vengeance,Jocelyn HudonGrace Van DienPauline Dyer
The Town,Ben AffleckRebecca HallJon Hamm
Guardians of the Galaxy,Chris PrattVin DieselBradley Cooper
Eyes Wide Shut,Tom CruiseNicole KidmanTodd Field
Fall,Grace Caroline CurreyVirginia GardnerMason Gooding
The Breakfast Club,Emilio EstevezJudd NelsonMolly Ringwald
Tropic Thunder,Ben StillerJack BlackRobert Downey Jr.
The Green Mile,Tom HanksMichael Clarke DuncanDavid Morse
Get Out,Daniel KaluuyaAllison WilliamsBradley Whitford
Dog Man,Pete DavidsonPoppy LiuLil Rel Howery
Green Book,Viggo MortensenMahershala AliLinda Cardellini
It,Bill SkarsgårdJaeden MartellFinn Wolfhard
The Lord of the Rings: The Return of the King,Elijah WoodViggo MortensenIan McKellen
10 Things I Hate About You,Heath LedgerJulia StilesJoseph Gordon-Levitt
Bone Tomahawk,Kurt RussellPatrick WilsonMatthew Fox
Carry-On,Taron EgertonJason BatemanSofia Carson
Kingsman: The Secret Service,Colin FirthTaron EgertonSamuel L. Jackson
The Fall Guy,Ryan GoslingEmily BluntAaron Taylor-Johnson
Presence,Lucy LiuChris SullivanCallina Liang
Avatar: Fire and Ash,Kate WinsletZoe SaldañaSigourney Weaver
Suicide Squad,Will SmithJared LetoMargot Robbie
John Wick: Chapter 4,Keanu ReevesLaurence FishburneGeorge Georgiou
Where the Crawdads Sing,Daisy Edgar-JonesTaylor John SmithHarris Dickinson
How to Train Your Dragon,Jay BaruchelGerard ButlerChristopher Mintz-Plasse
Ed Kemper,Lew TempleCassandra GavaBrandon Kirk
Terminator 2: Judgment Day,Arnold SchwarzeneggerLinda HamiltonEdward Furlong
Annihilation,Natalie PortmanJennifer Jason LeighTessa Thompson
Deep Impact,Robert DuvallTéa LeoniElijah Wood
Saturday Night,Gabriel LaBelleRachel SennottCory Michael Smith
The Usual Suspects,Kevin SpaceyGabriel ByrneChazz Palminteri
Catch Me If You Can,Leonardo DiCaprioTom HanksChristopher Walken
Sin City,Mickey RourkeClive OwenBruce Willis
Sicario,Emily BluntJosh BrolinBenicio Del Toro
Killers of the Flower Moon,Leonardo DiCaprioRobert De NiroLily Gladstone
Bring Her Back,Sally HawkinsBilly BarrattJonah Wren Phillips
"The Good, the Bad and the Ugly",Clint EastwoodEli WallachLee Van Cleef
Iron Man,Robert Downey Jr.Gwyneth PaltrowTerrence Howard
Thor: Love and Thunder,Chris HemsworthNatalie PortmanChristian Bale
Mad Max: Fury Road,Tom HardyCharlize TheronNicholas Hoult
Queer,Daniel CraigDaan de WitJason Schwartzman
Taxi Driver,Robert De NiroJodie FosterCybill Shepherd
Dungeons & Dragons: Honor Among Thieves,Chris PineMichelle RodriguezRegé-Jean Page
Hit Man,Glen PowellAdria ArjonaAustin Amelio
Don't Worry Darling,Florence PughHarry StylesChris Pine
Star Wars: Episode VI - Return of the Jedi,Mark HamillHarrison FordCarrie Fisher
Irreversible,Monica BellucciVincent CasselAlbert Dupontel
Star Wars: Episode VII - The Force Awakens,Daisy RidleyJohn BoyegaOscar Isaac
Scorned,Andrew StevensShannon TweedKim Morgan Greene
Terrifier 3,Lauren LaVeraDavid Howard ThorntonAntonella Rose
Black Panther,Chadwick BosemanMichael B. JordanLupita Nyong'o
Fast Times at Ridgemont High,Sean PennJennifer Jason LeighJudge Reinhold
Shutter Island,Leonardo DiCaprioEmily MortimerMark Ruffalo
Past Lives,Greta LeeTeo YooJohn Magaro
The Iron Claw,Zac EfronJeremy Allen WhiteHarris Dickinson
Abigail,Melissa BarreraDan StevensAlisha Weir
Clueless,Alicia SilverstoneStacey DashBrittany Murphy
The Outsiders,C. Thomas HowellMatt DillonRalph Macchio
The Man from Earth,David Lee SmithTony ToddJohn Billingsley
It Feeds,Ashley GreeneEllie O'BrienShawn Ashmore
Jaws,Roy ScheiderRobert ShawRichard Dreyfuss
City of God,Alexandre RodriguesLeandro FirminoMatheus Nachtergaele
Spirited Away,Daveigh ChaseSuzanne PleshetteMiyu Irino
Day of Reckoning,Zach RoerigBilly ZaneCara Jade Myers
Watchmen,Jackie Earle HaleyPatrick WilsonCarla Gugino
Blade Runner,Harrison FordRutger HauerSean Young
Spider-Man,Tobey MaguireKirsten DunstWillem Dafoe
Better Man,Robbie WilliamsJonno DaviesSteve Pemberton
Teenage Mutant Ninja Turtles: The Rise of Leo,Brandon TateDarren ColeDoug Halpern
The Godfather Part II,Al PacinoRobert De NiroRobert Duvall
The Terminator,Arnold SchwarzeneggerLinda HamiltonMichael Biehn
Subservience,Megan FoxMichele MorroneMadeline Zima
Indiana Jones and the Last Crusade,Harrison FordSean ConneryAlison Doody
There Will Be Blood,Daniel Day-LewisPaul DanoCiarán Hinds
Shadow Force,Kerry WashingtonOmar SyJahleel Kamara
The Help,Viola DavisEmma StoneOctavia Spencer
Mission: Impossible - Fallout,Tom CruiseHenry CavillVing Rhames
Her,Joaquin PhoenixAmy AdamsScarlett Johansson
Memento,Guy PearceCarrie-Anne MossJoe Pantoliano
Ford v Ferrari,Matt DamonChristian BaleJon Bernthal
One Battle After Another,Leonardo DiCaprioBenicio Del ToroSean Penn
Marching Powder,Geoff BellDanny DyerStephanie Leonidas
Harry Potter and the Goblet of Fire,Daniel RadcliffeEmma WatsonRupert Grint
Back in Action,Jamie FoxxCameron DiazMcKenna Roberts
The Hunger Games: Catching Fire,Jennifer LawrenceJosh HutchersonLiam Hemsworth
Star Wars: Episode IX - The Rise of Skywalker,Daisy RidleyJohn BoyegaOscar Isaac
Aliens,Sigourney WeaverMichael BiehnCarrie Henn
Jurassic World Dominion,Chris PrattBryce Dallas HowardLaura Dern
Havoc,Anne HathawayBijou PhillipsShiri Appleby
One of Them Days,Keke PalmerSZAVanessa Bell Calloway
Y2K,Jaeden MartellRachel ZeglerJulian Dennison
Hell or High Water,Chris PineBen FosterJeff Bridges
The Northman,Alexander SkarsgårdNicole KidmanClaes Bang
