Title,Actors
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,"['Britt Lowe', 'rSteve Buscem']"
Taken,"['Liam Neeso', 'nMaggie Grac']"
Man of Steel,"['Henry Cavil', 'lAmy Adam']"
Wifelike,"['Jonathan Rhys Meyer', 'sElena Kampouri']"
Beautiful Boy,"['Steve Carel', 'lMaura Tierne']"
IF,"['Cailey Flemin', 'gRyan Reynold']"
Sense and Sensibility,"['Emma Thompso', 'nKate Winsle']"
The Parent Trap,"['Lindsay Loha', 'nDennis Quai']"
Finding Nemo,"['Albert Brook', 'sEllen D', 'eGenere']"
Iron Man 2,['Robert Downey Jr.Mickey Rourk']
Cinderella,"['Lily Jame', 'sCate Blanchet']"
Kneecap,"['Móglaí Ba', 'pMo Char']"
Little Miss Sunshine,"['Steve Carel', 'lToni Collett']"
Star Trek,"['Chris Pin', 'eZachary Quint']"
Hook,"['Dustin Hoffma', 'nRobin William']"
2012,"['John Cusac', 'kThandiwe Newto']"
Harry Potter and the Deathly Hallows: Part 1,"['Daniel Radcliff', 'eEmma Watso']"
The Lord of the Rings: The War of the Rohirrim,"['Brian Co', 'xGaia Wis']"
Demolition,"['Jake Gyllenhaa', 'lNaomi Watt']"
Fantastic Mr. Fox,"['George Cloone', 'yMeryl Stree']"
Top Secret!,"['Val Kilme', 'rOmar Shari']"
Jerry Maguire,['Tom Cruis']
Pirates of the Caribbean: Dead Men Tell No Tales,"['Johnny Dep', 'pGeoffrey Rus']"
The Elephant Man,"['Anthony Hopkin', 'sJohn Hur']"
The Crow,"['Bill Skarsgår', 'dFKA twig']"
Pirates of the Caribbean: Dead Man's Chest,"['Johnny Dep', 'pOrlando Bloo']"
Red One,"['Dwayne Johnso', 'nChris Evan']"
Ground Zero,"['Emraan Hashm', 'iSai Tamhanka']"
Batman,"['Michael Keato', 'nJack Nicholso']"
Fantastic Four,"['Miles Telle', 'rKate Mar']"
Predators,"['Adrien Brod', 'yLaurence Fishburn']"
Ted,"['Mark Wahlber', 'gMila Kuni', 'sSeth Ma']"
Caveat,"['Ben Capla', 'nJohnny Frenc']"
Hamilton,"['Lin-Manuel Mirand', 'aPhillipa So']"
Oblivion,"['Tom Cruis', 'eMorgan Freema']"
"Lock, Stock and Two Smoking Barrels","['Jason Flemyn', 'gDexter Fletche']"
Weird Science,"['Anthony Michael Hal', 'lIlan Mitchell-Smit', 'hKelly L']"
Fantastic Beasts and Where to Find Them,"['Eddie Redmayn', 'eKatherine Watersto']"
In Time,"['Justin Timberlak', 'eAmanda Seyfrie']"
Contagion,"['Matt Damo', 'nKate Winsle']"
Raid,"['Ajay Devg', ""nIleana D'Cru""]"
Inside Man,"['Denzel Washingto', 'nClive Owe']"
Rain Man,"['Dustin Hoffma', 'nTom Cruis']"
Cast Away,"['Tom Hank', 'sHelen Hun']"
Lost in Translation,"['Bill Murra', 'yScarlett Johansso']"
Red Sparrow,"['Jennifer Lawrenc', 'eJoel Edgerto']"
Kingdom of the Planet of the Apes,"['Owen Teagu', 'eFreya Alla']"
WALL·E,"['Ben Burt', 'tElissa Knigh']"
Pale Rider,"['Clint Eastwoo', 'dMichael Moriart']"
Iron Man 3,['Robert Downey Jr.Guy Pearc']
The Old Guard 2,"['Charlize Thero', 'nK', 'iKi Layn']"
Saw,"['Cary Elwe', 'sLeigh Whannel']"
The Rocky Horror Picture Show,"['Tim Curr', 'ySusan Sarando']"
The Rock,"['Sean Conner', 'yNicolas Cag']"
Death Proof,"['Kurt Russel', 'lZoë Bel']"
Mystic River,"['Sean Pen', 'nTim Robbin']"
Opus,"['Ayo Edebir', 'iJohn Malkovic']"
Geostorm,"['Gerard Butle', 'rJim Sturges']"
Dogma,"['Ben Afflec', 'kMatt Damo']"
Underwater,"['Kristen Stewar', 'tVincent Casse']"
13 Hours: The Secret Soldiers of Benghazi,"['John Krasinsk', 'iPablo Schreibe']"
Margin Call,"['Zachary Quint', 'oStanley Tucc']"
Zack Snyder's Justice League,"['Henry Cavil', 'lBen Afflec']"
Gone with the Wind,"['Clark Gabl', 'eVivien Leig']"
Nightbitch,"['Amy Adam', 'sScoot M', 'cNair']"
It's What's Inside,"[""Brittany O'Grad"", 'yJames Morosin']"
The Abyss,"['Ed Harri', 'sMary Elizabeth Mastrantoni']"
Tangled,"['Mandy Moor', 'eZachary Lev']"
The 40-Year-Old Virgin,"['Steve Carel', 'lCatherine Keene']"
Wedding Crashers,"['Owen Wilso', 'nVince Vaugh', 'nRachel M']"
Ben-Hur,"['Charlton Hesto', 'nJack Hawkin']"
Deadpool 2,"['Ryan Reynold', 'sJosh Broli']"
Napoleon,"['Joaquin Phoeni', 'xVanessa Kirb']"
A Quiet Place,"['Emily Blun', 'tJohn Krasinsk']"
Hot Fuzz,"['Simon Peg', 'gNick Fros']"
Willy Wonka & the Chocolate Factory,"['Gene Wilde', 'rJack Albertso']"
Ant-Man and the Wasp: Quantumania,"['Paul Rud', 'dEvangeline Lill']"
The Last Rodeo,"['Neal M', 'cDonoug', 'hChristopher M', 'cDonal']"
12 Years a Slave,"['Chiwetel Ejiofo', 'rMichael Kenneth William']"
Instant Family,"['Mark Wahlber', 'gRose Byrn']"
Secretariat,"['Diane Lan', 'eJohn Malkovic']"
Rocky,"['Sylvester Stallon', 'eTalia Shir']"
The Lion King,"['Donald Glove', 'rBeyonc']"
Tusk,"['Justin Lon', 'gMichael Park']"
The Flash,"['Ezra Mille', 'rMichael Keato']"
Black Mirror: Bandersnatch,"['Fionn Whitehea', 'dCraig Parkinso']"
"Girl, Interrupted","['Winona Ryde', 'rAngelina Joli', 'eClea D']"
Coyote Ugly,"['Piper Perab', 'oAdam Garci']"
Holes,"['Shia L', 'aBeou', 'fSigourney Weave']"
Hannibal,"['Anthony Hopkin', 'sJulianne Moor']"
Thirteen,"['Evan Rachel Woo', 'dHolly Hunte']"
The Dark Tower,"['Idris Elb', 'aMatthew M', 'cConaughe']"
The Descent,"['Shauna Macdonal', 'dNatalie Mendoz']"
Erin Brockovich,"['Julia Robert', 'sAlbert Finne']"
Aladdin,"['Will Smit', 'hMena Massou']"
X-Men: First Class,"['James M', 'cAvo', 'yMichael Fassbende']"
Man on Fire,"['Denzel Washingto', 'nChristopher Walke']"
Last Night in Soho,"['Thomasin M', 'cKenzi', 'eAnya Taylor-Jo']"
The Fast and the Furious: Tokyo Drift,"['Lucas Blac', 'kZachery Ty Brya']"
Dirty Dancing,"['Patrick Swayz', 'eJennifer Gre']"
La cocina,"['Raúl Brione', 'sRooney Mar']"
"Monsters, Inc.","['Billy Crysta', 'lJohn Goodma']"
Mr. & Mrs. Smith,"['Brad Pit', 'tAngelina Joli']"
Blended,"['Adam Sandle', 'rDrew Barrymor', 'eWendi M']"
Death on the Nile,"['Tom Batema', 'nAnnette Benin']"
Not Another Teen Movie,"['Chyler Leig', 'hJaime Pressl']"
Fly Me to the Moon,"['Scarlett Johansso', 'nChanning Tatu']"
9 Songs,"[""Kieran O'Brie"", 'nMargo Stille']"
Peter Pan's Neverland Nightmare,"['Megan Placit', 'oMartin Portloc']"
World War Z,"['Brad Pit', 'tMireille Eno']"
The Watchers,"['Dakota Fannin', 'gGeorgina Campbel']"
Drive-Away Dolls,"['Margaret Qualle', 'yGeraldine Viswanatha']"
Priscilla,"['Cailee Spaen', 'yJacob Elord']"
The Ritual,"['Rafe Spal', 'lArsher Al']"
Shame,"['Michael Fassbende', 'rCarey Mulliga']"
The King,"['Tom Glynn-Carne', 'yGábor Cza']"
Nocturnal Animals,"['Amy Adam', 'sJake Gyllenhaa']"
The Prince of Egypt,"['Val Kilme', 'rRalph Fienne']"
Purple Hearts,"['Sofia Carso', 'nNicholas Galitzin']"
Bring Them Down,"['Christopher Abbot', 'tBarry Keogha']"
Licorice Pizza,"['Alana Hai', 'mCooper Hoffma']"
Murder on the Orient Express,"['Kenneth Branag', 'hPenélope Cru']"
La Dolce Villa,"['Scott Fole', 'yViolante Placid']"
Perfect Blue,"['Junko Iwa', 'oRica Matsumot']"
The Banshees of Inisherin,"['Colin Farrel', 'lBrendan Gleeso']"
The Bourne Identity,"['Franka Potent', 'eMatt Damo']"
The Curious Case of Benjamin Button,"['Brad Pit', 'tCate Blanchet']"
The Perfect Storm,"['George Cloone', 'yMark Wahlber']"
Tinker Tailor Soldier Spy,"['Gary Oldma', 'nColin Firt']"
King Kong,"['Naomi Watt', 'sJack Blac']"
"Husband, Father, Killer: The Alyssa Pladl Story","['Jackie Cru', 'zMatthew Ma', 'cCaul']"
Godzilla x Kong: The New Empire,"['Rebecca Hal', 'lBrian Tyree Henr']"
